id,dataset,split,question,prediction,answers,agent,raw_prediction,correct
WebQTest-1198,webqsp,test,who influenced samuel taylor coleridge?,"Samuel Taylor Coleridge was primarily influenced by:

1. **Philosophical thinkers:** Immanuel Kant, David Hartley, and the German Idealists.
2. **Literary figures:** William Wordsworth (his collaborator), William Shakespeare, John Milton, and the Gothic novel tradition.
3. **German literature and philosophy:** His time in Germany led to an absorption of ideas from Friedrich Schiller and the aesthetics of German Romanticism.
4. **Platonism and Neoplatonism:** Which shaped his views on imagination and the spiritual world.

His major concept of the ""Primary and Secondary Imagination"" was particularly shaped by his engagement with German transcendental philosophy.","['Giambattista Vico', 'Baruch Spinoza', 'Thomas Browne', 'Friedrich Wilhelm Joseph Schelling', 'Emanuel Swedenborg', 'Immanuel Kant', 'John Milton', 'William Shakespeare', 'Robert Burns', 'Algernon Charles Swinburne']",Tiered-Forest,"Samuel Taylor Coleridge was primarily influenced by:

1. **Philosophical thinkers:** Immanuel Kant, David Hartley, and the German Idealists.
2. **Literary figures:** William Wordsworth (his collaborator), William Shakespeare, John Milton, and the Gothic novel tradition.
3. **German literature and philosophy:** His time in Germany led to an absorption of ideas from Friedrich Schiller and the aesthetics of German Romanticism.
4. **Platonism and Neoplatonism:** Which shaped his views on imagination and the spiritual world.

His major concept of the ""Primary and Secondary Imagination"" was particularly shaped by his engagement with German transcendental philosophy.",True
WebQTest-1092,webqsp,test,who did viggo mortensen play in lord of the rings?,Viggo Mortensen played **Aragorn** in *The Lord of the Rings*.,['Aragorn'],Tiered-Forest,Viggo Mortensen played **Aragorn** in *The Lord of the Rings*.,True
WebQTest-713,webqsp,test,what county is st. louis park in?,"St. Louis Park is in **Hennepin County**, Minnesota.",['Hennepin County'],Tiered-Forest,"St. Louis Park is in **Hennepin County**, Minnesota.",True
WebQTest-1637,webqsp,test,what are the catholic holy days?,"The candidate answer does not match the question. The names provided are not relevant to the inquiry about Catholic holy days.

The universal Catholic holy days of obligation (though observance can vary by country) typically include:
*   Solemnity of Mary, Mother of God (January 1)
*   Ascension of Jesus (40 days after Easter)
*   Assumption of Mary (August 15)
*   All Saints' Day (November 1)
*   Immaculate Conception (December 8)
*   Christmas (December 25)

**Answer:** The principal Catholic holy days include Christmas, the Solemnity of Mary, the Ascension, the Assumption, All Saints' Day, and the Immaculate Conception. Local bishops' conferences may adjust the list.","['Feast of St. Margaret of the Árpád House', 'Feast of Our Lady of Hungary', 'Feast of Our Lady of the Rosary', ""Our Lady of Aparecida's day"", 'Father Damien Day', 'Our Lady of Guadalupe Day', 'St. Spiridon Day', ""Saint Nicholas' Eve"", 'Feast of Assumption', ""Euthymius the Great's Feast Day"", 'The Feast of Our Lady of Mount Carmel', ""St. Anthony's Day"", 'Feast of Our Lady of Sorrows', ""St Joseph's Day"", ""Saint Patrick's Day"", 'Maundy Thursday', ""St. Stephen's Day"", 'Corpus Christi', 'Nativity of Mary', 'Olsok', 'Feast of the Immaculate Conception', 'Feast of the Cross', 'Feast of Christ the King', 'Name day', 'Fat Thursday', 'World Day of Peace', 'Palm Sunday', 'Saints Cyril and Methodius Day', 'Solemnity of Mary, Mother of God', 'Feast of Saints Peter and Paul', ""St Crispin's Day"", ""St Casimir's Day"", ""All Saints' Day"", 'Feast of St Francis of Assisi', 'St Nicholas Day']",Tiered-Forest,"The candidate answer does not match the question. The names provided are not relevant to the inquiry about Catholic holy days.

The universal Catholic holy days of obligation (though observance can vary by country) typically include:
*   Solemnity of Mary, Mother of God (January 1)
*   Ascension of Jesus (40 days after Easter)
*   Assumption of Mary (August 15)
*   All Saints' Day (November 1)
*   Immaculate Conception (December 8)
*   Christmas (December 25)

**Answer:** The principal Catholic holy days include Christmas, the Solemnity of Mary, the Ascension, the Assumption, All Saints' Day, and the Immaculate Conception. Local bishops' conferences may adjust the list.",True
WebQTest-1241,webqsp,test,where does the columbia river start?,"The Columbia River starts in Columbia Lake in the Rocky Mountain Trench of British Columbia, Canada.",['Columbia Lake'],Tiered-Forest,"The Columbia River starts in Columbia Lake in the Rocky Mountain Trench of British Columbia, Canada.",True
WebQTest-377,webqsp,test,what school did michael jordan attend?,Michael Jordan attended the University of North Carolina at Chapel Hill.,"['Emsley A. Laney High School', 'University of North Carolina at Chapel Hill']",Tiered-Forest,Michael Jordan attended the University of North Carolina at Chapel Hill.,True
WebQTest-1488,webqsp,test,what type of art does marc chagall do?,"Marc Chagall was a painter and stained glass artist, best known for his work in **modern art**, particularly **painting**. He worked in styles like **Symbolism, Cubism, and Fauvism**, and is famous for his dreamlike, poetic scenes often inspired by Jewish folklore and his native Belarus.","['Modern art', 'Fauvism', 'Surrealism', 'Cubism', 'Expressionism']",Tiered-Forest,"Marc Chagall was a painter and stained glass artist, best known for his work in **modern art**, particularly **painting**. He worked in styles like **Symbolism, Cubism, and Fauvism**, and is famous for his dreamlike, poetic scenes often inspired by Jewish folklore and his native Belarus.",True
WebQTest-383,webqsp,test,what language do chinese people write in?,"Chinese people primarily write in **Standard Chinese**, which uses **Chinese characters (汉字)**. The modern writing system is based on **simplified characters** in mainland China and **traditional characters** in regions like Taiwan, Hong Kong, and Macau.","['Nüshu script', 'Simplified Chinese character', 'Traditional Chinese characters', ""'Phags-pa script"", 'Chinese characters']",Tiered-Forest,"Chinese people primarily write in **Standard Chinese**, which uses **Chinese characters (汉字)**. The modern writing system is based on **simplified characters** in mainland China and **traditional characters** in regions like Taiwan, Hong Kong, and Macau.",True
WebQTest-1619,webqsp,test,where do the appalachian mountains run?,"The Appalachian Mountains run through the eastern United States, extending from Newfoundland and Labrador in Canada down to central Alabama in the United States.",['North America'],Tiered-Forest,"The Appalachian Mountains run through the eastern United States, extending from Newfoundland and Labrador in Canada down to central Alabama in the United States.",False
WebQTest-1508,webqsp,test,when did bill clinton go to college?,"Bill Clinton attended Georgetown University from 1964 to 1968, where he earned a Bachelor of Science in Foreign Service. He then attended Oxford University as a Rhodes Scholar from 1968 to 1970, followed by Yale Law School from 1970 to 1973.","['Yale Law School', 'Edmund A. Walsh School of Foreign Service', 'University of Oxford', 'University Yale', 'Georgetown University', 'University College, Oxford']",Tiered-Forest,"Bill Clinton attended Georgetown University from 1964 to 1968, where he earned a Bachelor of Science in Foreign Service. He then attended Oxford University as a Rhodes Scholar from 1968 to 1970, followed by Yale Law School from 1970 to 1973.",True
